,abbreviation,adjusted_price,name,original_price,release_date,year
0,TF1,140.0,Fuze Tomahawk F1,140.0,2016-06-01 00:00:00,2016
1,APTV,150.56914240867073,Apple TV,149.0,2015-10-26 00:00:00,2015
2,N3DS,202.33560414507477,New Nintendo 3DS,199.99,2014-10-11 00:00:00,2014
3,FIRE,100.16113210841743,Amazon Fire TV,99.0,2014-04-02 00:00:00,2014
4,XONE,512.9815024737412,Xbox One,499.0,2013-11-22 00:00:00,2013
5,PS4,410.1795981703863,PlayStation 4,399.0,2013-11-15 00:00:00,2013
6,OUYA,101.77388526032142,Ouya,99.0,2013-06-25 00:00:00,2013
7,WiiU,311.885681972273,Wii U,299.0,2012-11-18 00:00:00,2012
8,VITA,259.7308856558394,PlayStation Vita,249.0,2012-02-29 00:00:00,2012
9,3DS,265.1274391680708,Nintendo 3DS,249.0,2011-02-26 00:00:00,2011
10,IPAD,548.0012365710143,iPad,499.0,2010-04-27 00:00:00,2010
11,ZBO,312.52806457726797,Zeebo,280.0,2009-06-25 00:00:00,2009
12,DIDJ,100.13363266927365,Leapfrog Didj,90.0,2008-08-22 00:00:00,2008
13,IPHN,691.8695196794379,iPhone,599.0,2007-06-29 00:00:00,2007
14,Wii,295.861044362674,Wii,249.0,2006-11-19 00:00:00,2006
15,PS3,711.7299822218545,PlayStation 3,599.0,2006-11-11 00:00:00,2006
16,HSCN,83.17378757183607,HyperScan,70.0,2006-10-01 00:00:00,2006
17,X360,489.3662120177534,Xbox 360,399.0,2005-11-22 00:00:00,2005
18,GIZ,280.86431717309654,Gizmondo,229.0,2005-10-01 00:00:00,2005
19,GWAV,121.4216917036531,Game Wave,99.0,2005-10-01 00:00:00,2005
20,VSML,110.3833560942301,V.Smile,90.0,2005-08-29 00:00:00,2005
21,PSP,305.3939518607032,PlayStation Portable,249.0,2005-03-24 00:00:00,2005
22,DS,188.89669063478757,Nintendo DS,149.0,2004-11-21 00:00:00,2004
23,XAVX,100.15327892716924,XaviXPORT,79.0,2004-08-28 00:00:00,2004
24,LEAP,104.12652173913041,Leapster,80.0,2003-11-29 00:00:00,2003
25,ZOD,389.17287499999986,Zodiac,299.0,2003-10-31 00:00:00,2003
26,NGE,389.17287499999986,N-Gage,299.0,2003-10-07 00:00:00,2003
27,GP32,216.43808896210868,GamePark 32,160.0,2001-11-23 00:00:00,2001
28,XBOX,404.4686787479406,Xbox,299.0,2001-11-01 00:00:00,2001
29,IPOD,539.7424843492585,iPod,399.0,2001-10-23 00:00:00,2001
30,GCN,269.1948731466227,GameCube,199.0,2001-09-14 00:00:00,2001
31,GBA,135.27380560131792,Game Boy Advance,100.0,2001-03-21 00:00:00,2001
32,WSC,82.05954024101047,WonderSwan Color,59.0,2000-12-09 00:00:00,2000
33,PS2,415.8610598654598,PlayStation 2,299.0,2000-03-04 00:00:00,2000
34,64DD,431.2994497248623,Nintendo 64DD,300.0,1999-11-20 00:00:00,1999
35,NGPC,100.63653826913455,Neo Geo Pocket Color,70.0,1999-03-16 00:00:00,1999
36,DC,292.36977046163275,Dreamcast,199.0,1998-11-27 00:00:00,1998
37,GBC,102.84363785082559,Game Boy Color,70.0,1998-10-31 00:00:00,1998
38,GCOM,104.43463634947824,Game.Com,70.0,1997-09-30 00:00:00,1997
39,N64,303.8328151729267,Nintendo 64,199.0,1996-06-23 00:00:00,1996
40,PIPN,941.4094432899483,Pippin,599.0,1995-09-01 00:00:00,1995
41,VBOY,281.3226883954937,Virtual Boy,179.0,1995-07-02 00:00:00,1995
42,BS-X,227.88709395165694,Satellaview,145.0,1995-04-30 00:00:00,1995
43,32X,256.9004486422668,Sega 32X,159.0,1994-12-31 00:00:00,1994
44,PS1,483.1021015348287,PlayStation,299.0,1994-12-03 00:00:00,1994
45,SAT,644.6747107438015,Saturn,399.0,1994-11-22 00:00:00,1994
46,NGCD,484.7178276269184,Neo Geo CD,300.0,1994-10-31 00:00:00,1994
47,PDIA,476.6391971664697,Bandai Playdia,295.0,1994-10-31 00:00:00,1994
48,JAG,414.4159889254195,Jaguar,250.0,1993-11-30 00:00:00,1993
49,CD32,414.4159889254195,Amiga CD32,250.0,1993-09-17 00:00:00,1993
50,3DO,1160.3647689911747,3DO,700.0,1993-08-31 00:00:00,1993
51,LACT,1607.9340370306277,Pioneer LaserActive,970.0,1993-08-31 00:00:00,1993
52,DUCK,119.35180481052082,Mega Duck,72.0,1993-08-31 00:00:00,1993
53,VIS,1193.1166526103223,Memorex MD 2500 VIS,699.0,1992-12-31 00:00:00,1992
54,SCD,510.36034210370013,Sega CD,299.0,1992-10-15 00:00:00,1992
55,SVIS,85.34453881332777,Watara Supervision,50.0,1992-01-01 00:00:00,1992
56,CDI,1231.1654834761318,CD-i,700.0,1991-12-03 00:00:00,1991
57,CDTV,1405.2874589963278,Commodore CDTV,799.0,1991-03-01 00:00:00,1991
58,SNES,364.758280502583,Super Nintendo Entertainment System,199.0,1990-11-21 00:00:00,1990
